,도로명,아파트이름,전용면적,평균 거래금액,거래연도,위도,경도
0,경기도 가좌동 1086,가좌마을6단지벽산,59,21356,2012,37.6895199,126.7229513
1,경기도 가좌동 1086,가좌마을6단지벽산,84,25238,2012,37.6895199,126.7229513
2,경기도 가좌동 1086,가좌마을6단지벽산,101,30607,2012,37.6895199,126.7229513
3,경기도 가좌동 1086,가좌마을6단지벽산,124,37333,2012,37.6895199,126.7229513
4,경기도 가좌동 1086,가좌마을6단지벽산,153,38075,2012,37.6895199,126.7229513
5,경기도 가좌동 1087,가좌마을5단지벽산,59,20661,2012,37.6910627,126.7206573
6,경기도 가좌동 1087,가좌마을5단지벽산,84,25172,2012,37.6910627,126.7206573
7,경기도 가좌동 1087,가좌마을5단지벽산,101,30371,2012,37.6910627,126.7206573
8,경기도 가좌동 1088,청원벽산블루밍3단지,74,22800,2012,37.6894072,126.7187889
9,경기도 가좌동 1088,청원벽산블루밍3단지,84,22605,2012,37.6894072,126.7187889
10,경기도 가좌동 1088,청원벽산블루밍3단지,117,30262,2012,37.6894072,126.7187889
11,경기도 가좌동 1088,청원벽산블루밍3단지,134,34500,2012,37.6894072,126.7187889
12,경기도 가좌동 1088,청원벽산블루밍3단지,161,39053,2012,37.6894072,126.7187889
13,경기도 가좌동 1089,가좌마을2단지대우,73,20100,2012,37.6871486,126.7172428
14,경기도 가좌동 1089,가좌마을2단지대우,84,24202,2012,37.6871486,126.7172428
15,경기도 가좌동 1089,가좌마을2단지대우,117,34300,2012,37.6871486,126.7172428
16,경기도 가좌동 1089,가좌마을2단지대우,138,36250,2012,37.6871486,126.7172428
17,경기도 가좌동 1090,가좌마을1단지양우,59,18800,2012,37.6849444,126.7172468
18,경기도 가좌동 1090,가좌마을1단지양우,84,22865,2012,37.6849444,126.7172468
19,경기도 가좌동 1105,가좌마을7단지꿈에그린,59,25900,2012,37.6837509,126.7218776
20,경기도 가좌동 1105,가좌마을7단지꿈에그린,101,41350,2012,37.6837509,126.7218776
21,경기도 가좌동 1105,가좌마을7단지꿈에그린,134,71124,2012,37.6837509,126.7218776
22,경기도 가좌동 1105,가좌마을7단지꿈에그린,161,82815,2012,37.6837509,126.7218776
23,경기도 고양동 103,화성그린빌,59,12600,2012,37.7034347,126.8988652
24,경기도 고양동 103,화성그린빌,84,16400,2012,37.7034347,126.8988652
25,경기도 고양동 1121,푸른마을10단지,84,24988,2012,37.7169047,126.9033795
26,경기도 고양동 1121,푸른마을10단지,106,34363,2012,37.7169047,126.9033795
27,경기도 고양동 1121,푸른마을10단지,115,38469,2012,37.7169047,126.9033795
28,경기도 고양동 197,삼성,59,14650,2012,37.7027901,126.9025394
29,경기도 고양동 197,삼성,84,18433,2012,37.7027901,126.9025394
30,경기도 고양동 240-6,현대1,59,14823,2012,37.7013197,126.9004084
31,경기도 고양동 240-6,현대1,84,18096,2012,37.7013197,126.9004084
