,계약년,주소,단지명,전용면적(㎡),면적라벨,거래금액(만원),m2당금액(만원)
0,2012,경기도 가좌동 1086,가좌마을6단지벽산,59,1.0,21356,355
1,2012,경기도 가좌동 1086,가좌마을6단지벽산,84,3.0,25238,296
2,2012,경기도 가좌동 1086,가좌마을6단지벽산,101,3.0,30607,299
3,2012,경기도 가좌동 1086,가좌마을6단지벽산,124,3.0,37333,298
4,2012,경기도 가좌동 1086,가좌마을6단지벽산,153,3.0,38075,247
5,2012,경기도 가좌동 1087,가좌마을5단지벽산,59,1.0,20661,344
6,2012,경기도 가좌동 1087,가좌마을5단지벽산,84,3.0,25172,295
7,2012,경기도 가좌동 1087,가좌마을5단지벽산,101,3.0,30371,297
8,2012,경기도 가좌동 1088,청원벽산블루밍3단지,74,2.0,22800,305
9,2012,경기도 가좌동 1088,청원벽산블루밍3단지,84,3.0,22605,265
10,2012,경기도 가좌동 1088,청원벽산블루밍3단지,117,3.0,30262,256
11,2012,경기도 가좌동 1088,청원벽산블루밍3단지,134,3.0,34500,255
12,2012,경기도 가좌동 1088,청원벽산블루밍3단지,161,3.0,39053,242
13,2012,경기도 가좌동 1089,가좌마을2단지대우,73,2.0,20100,272
14,2012,경기도 가좌동 1089,가좌마을2단지대우,84,3.0,24202,284
15,2012,경기도 가좌동 1089,가좌마을2단지대우,117,3.0,34300,292
16,2012,경기도 가좌동 1089,가좌마을2단지대우,138,3.0,36250,261
17,2012,경기도 가좌동 1090,가좌마을1단지양우,59,1.0,18800,313
18,2012,경기도 가좌동 1090,가좌마을1단지양우,84,3.0,22865,269
19,2012,경기도 가좌동 1105,가좌마을7단지꿈에그린,59,1.0,25900,431
20,2012,경기도 가좌동 1105,가좌마을7단지꿈에그린,101,3.0,41350,405
21,2012,경기도 가좌동 1105,가좌마을7단지꿈에그린,134,3.0,71124,530
22,2012,경기도 가좌동 1105,가좌마을7단지꿈에그린,161,3.0,82815,513
23,2012,경기도 고양동 103,화성그린빌,59,1.0,12600,210
24,2012,경기도 고양동 103,화성그린빌,84,3.0,16400,193
25,2012,경기도 고양동 1121,푸른마을10단지,84,3.0,24988,294
26,2012,경기도 고양동 1121,푸른마을10단지,106,3.0,34363,321
27,2012,경기도 고양동 1121,푸른마을10단지,115,3.0,38469,331
28,2012,경기도 고양동 197,삼성,59,1.0,14650,244
29,2012,경기도 고양동 197,삼성,84,3.0,18433,216
30,2012,경기도 고양동 240-6,현대1,59,1.0,14823,249
31,2012,경기도 고양동 240-6,현대1,84,3.0,18096,214
32,2012,경기도 고양동 255,현대2,59,1.0,14633,243
33,2012,경기도 고양동 399,청구,59,1.0,12400,206
34,2012,경기도 고양동 399,청구,84,3.0,15300,179
35,2012,경기도 고양동 414-1,윤창APT,58,1.0,11600,196
36,2012,경기도 고양동 414-1,윤창APT,59,1.0,13800,231
37,2012,경기도 고양동 414-1,윤창APT,84,3.0,15187,178
38,2012,경기도 고양동 454,고양동우방유쉘아파트,59,1.0,16522,275
39,2012,경기도 고양동 454,고양동우방유쉘아파트,84,3.0,22180,260
40,2012,경기도 고양동 719,푸른마을3단지,59,1.0,16055,267
41,2012,경기도 고양동 719,푸른마을3단지,84,3.0,18826,221
42,2012,경기도 고양동 720,푸른마을2단지,114,3.0,25025,217
43,2012,경기도 고양동 720,푸른마을2단지,134,3.0,28000,208
44,2012,경기도 고양동 724,푸른마을6단지,59,1.0,17170,285
45,2012,경기도 고양동 724,푸른마을6단지,84,3.0,20263,238
46,2012,경기도 고양동 730,푸른마을5단지,59,1.0,16900,281
47,2012,경기도 고양동 730,푸른마을5단지,84,3.0,20689,243
48,2012,경기도 고양동 734,푸른마을4단지,92,3.0,24811,266
49,2012,경기도 고양동 734,푸른마을4단지,125,3.0,28700,227
50,2012,경기도 고양동 735,푸른마을1단지,59,1.0,18360,309
51,2012,경기도 고양동 735,푸른마을1단지,84,3.0,22385,263
52,2012,경기도 고양동 752,푸른마을7단지,84,3.0,26500,312
53,2012,경기도 관산동 126,유승(126),84,3.0,17575,206
54,2012,경기도 관산동 126,유승(126),115,3.0,23000,199
55,2012,경기도 관산동 134,윤창,46,1.0,7900,169
56,2012,경기도 관산동 151,허스(151),44,1.0,7375,165
57,2012,경기도 관산동 151,허스(151),57,1.0,10000,172
58,2012,경기도 관산동 151-3,허스(151-3),52,1.0,11000,209
59,2012,경기도 관산동 178-57,새서울,42,1.0,6833,159
60,2012,경기도 관산동 178-57,새서울,45,1.0,8325,181
61,2012,경기도 관산동 178-57,새서울,56,1.0,11100,195
62,2012,경기도 관산동 178-57,새서울,68,2.0,13900,203
63,2012,경기도 관산동 246-3,준성,43,1.0,9100,207
64,2012,경기도 관산동 338-4,중앙,52,1.0,10500,200
65,2012,경기도 관산동 338-4,중앙,57,1.0,11700,202
66,2012,경기도 관산동 338-4,중앙,84,3.0,15800,187
67,2012,경기도 관산동 981,신성,59,1.0,16066,269
68,2012,경기도 관산동 981,신성,84,3.0,20000,235
69,2012,경기도 관산동 996,주공그린빌,59,1.0,17152,285
70,2012,경기도 관산동 996,주공그린빌,75,2.0,21640,284
71,2012,경기도 관산동 996,주공그린빌,84,3.0,22187,261
72,2012,경기도 대화동 1499,대화GS자이(1단지),118,3.0,40500,343
73,2012,경기도 대화동 1499,대화GS자이(1단지),134,3.0,36000,268
74,2012,경기도 대화동 1499,대화GS자이(1단지),163,3.0,45000,275
75,2012,경기도 대화동 1580,대화마을한라(2단지),84,3.0,31200,367
76,2012,경기도 대화동 1580,대화마을한라(2단지),133,3.0,44228,331
77,2012,경기도 대화동 1580,대화마을한라(2단지),164,3.0,44000,267
78,2012,경기도 대화동 2209,세경,40,1.0,11000,272
79,2012,경기도 대화동 2209,세경,49,1.0,12600,253
80,2012,경기도 대화동 2212,성저마을(동익1단지),59,1.0,21560,364
81,2012,경기도 대화동 2212,성저마을(동익1단지),69,2.0,26250,378
82,2012,경기도 대화동 2212,성저마을(동익1단지),84,3.0,28115,330
83,2012,경기도 대화동 2213,성저마을(삼익),59,1.0,19530,325
84,2012,경기도 대화동 2213,성저마을(삼익),78,2.0,26288,336
85,2012,경기도 대화동 2215,성저마을(풍림),45,1.0,16322,359
86,2012,경기도 대화동 2215,성저마을(풍림),83,2.0,29933,357
87,2012,경기도 대화동 2228,장성마을(동부),52,1.0,18170,348
88,2012,경기도 대화동 2228,장성마을(동부),67,2.0,27262,404
89,2012,경기도 대화동 2228,장성마을(동부),84,3.0,35810,420
90,2012,경기도 대화동 2232,장성마을(대명4),130,3.0,40477,309
91,2012,경기도 대화동 2234,장성마을(3),101,3.0,55000,540
92,2012,경기도 대화동 2234,장성마을(3),133,3.0,57075,426
93,2012,경기도 대화동 2234,장성마을(3),148,3.0,50000,337
94,2012,경기도 대화동 2236,장성마을(대명2),59,1.0,20470,346
95,2012,경기도 대화동 2236,장성마을(대명2),61,2.0,21380,346
96,2012,경기도 대화동 2570,대화마을(5단지),84,3.0,26802,317
97,2012,경기도 대화동 2570,휴먼빌(6단지),84,3.0,26058,308
