,Unnamed: 0,매매가,실구매가,위치,공급면적,전용면적,해당동,해당세대수,방/욕실수,해당층/총층,방향,현관/난방,단지규모,총세대수,총동수,교통시설,학교시설,편의시설
0,0,"55,000만원","55,000만원",경기도 고양시 대화동 2579 ,112.4㎡,84.63㎡,701동,592가구,3/2개,4/20,남서향,계단식/지역난방,8개동 총 668가구,668 세대,8개동, 3호선 대화역 도보 5분 거리,"한내초등,대화초등,대송중,대화고","롯데백화점,뉴코아백화점,킴스클럽,홈플러스,일산호수공원,일산백병원,종합운동장,현대백화점"
1,1,"68,000만원","68,000만원",경기도 고양시 대화동 2580 ,109.09㎡,84.86㎡,802동,497가구,3/2개,14/14,남동향,계단식/지역난방,10개동 총 811가구,811 세대,10개동, 3호선 대화역 차량 5분 거리,"한내초등,대화초등,대송중,대화고","현대백화점,일산백병원,근린공원,일산호수공원,뉴코아백화점,롯데백화점,그랜드백화점"
2,2,"52,000만원","52,000만원",경기도 고양시 대화동 2573 ,112.4㎡,84.43㎡,305동,706가구,3/2개,13/20,남서향,계단식/지역난방,8개동 총 706가구,706 세대,8개동, 3호선 대화역 차량 5분 거리,"한내초등,대화초등,대송중,대화고","뉴코아백화점,이마트,일산호수공원,동국대한방병원,일산백병원,현대백화점"
3,3,"52,000만원","52,000만원",경기도 고양시 대화동 2570 ,112.4B㎡,84.26㎡,604동,649가구,3/2개,10/20,남서향,계단식/지역난방,14개동 총 1255가구,1255 세대,14개동, 3호선 대화역 차량 5분 거리,"한내초등,대화초등,대송중,대화고","농수산물유통센터,종합운동장,일산백병원,국립암센터,홈플러스,그랜드백화점,일산호수공원,현대백화점"
4,4,"41,000만원","41,000만원",경기도 고양시 일산동 576-4 ,104.61㎡,82.65㎡,101동,296가구,3/2개,16/27,남향,계단식/개별난방,4개동 총 496가구,496 세대,4개동, 3호선 주엽역 차량 10분 거리,"안곡초등, 현산중, 일산공고","그랜드백화점(일산점), 뉴코아백화점(일산점), 롯데백화점(일산점), 그랜드마트(일산점), 롯데마트(일산점), 이마트(일산점), 해태쇼핑스포츠센타"
5,5,"39,000만원","39,000만원",경기도 고양시 일산동 576-4 ,104.61㎡,82.65㎡,103동,296가구,3/2개,8/27,동향,계단식/개별난방,4개동 총 496가구,496 세대,4개동, 3호선 주엽역 차량 10분 거리,"안곡초등, 현산중, 일산공고","그랜드백화점(일산점), 뉴코아백화점(일산점), 롯데백화점(일산점), 그랜드마트(일산점), 롯데마트(일산점), 이마트(일산점), 해태쇼핑스포츠센타"
6,6,"36,500만원","36,500만원",경기도 고양시 일산동 576-4 ,104.61㎡,82.65㎡,103동,296가구,3/2개,4/27,동향,계단식/개별난방,4개동 총 496가구,496 세대,4개동, 3호선 주엽역 차량 10분 거리,"안곡초등, 현산중, 일산공고","그랜드백화점(일산점), 뉴코아백화점(일산점), 롯데백화점(일산점), 그랜드마트(일산점), 롯데마트(일산점), 이마트(일산점), 해태쇼핑스포츠센타"
7,7,"36,500만원","36,500만원",경기도 고양시 일산동 576-4 ,104.61㎡,82.65㎡,103동,296가구,3/2개,2/27,남향,계단식/개별난방,4개동 총 496가구,496 세대,4개동, 3호선 주엽역 차량 10분 거리,"안곡초등, 현산중, 일산공고","그랜드백화점(일산점), 뉴코아백화점(일산점), 롯데백화점(일산점), 그랜드마트(일산점), 롯데마트(일산점), 이마트(일산점), 해태쇼핑스포츠센타"
8,8,"34,000만원","34,000만원",경기도 고양시 고양동 719 ,87.08㎡,59.5㎡,308동,145가구,3/2개,7/25,남향,계단식/개별난방,11개동 총 958가구,958 세대,11개동, 6호선 불광역 차량 10분 거리 3호선 불광역 차량 10분 거리,"고양초등, 목암초등, 목암중, 벽제중,벽제외국어고","롯데백화점,세이브존"
9,9,"45,000만원","45,000만원",경기도 고양시 고양동 719 ,108.28A㎡,82.65㎡,301동,356가구,3/2개,14/25,남향,계단식/개별난방,11개동 총 958가구,958 세대,11개동, 6호선 불광역 차량 10분 거리 3호선 불광역 차량 10분 거리,"고양초등, 목암초등, 목암중, 벽제중,벽제외국어고","롯데백화점,세이브존"
